seqname,source,feature,start,end,score,strand,frame,attribute,gene_id,gene_name,gene_biotype,start_norm,end_norm,length
22,ensembl,gene,10736171,10736283,.,-,.,"gene_id ""ENSG00000277248""; gene_version ""1""; gene_name ""U2""; gene_source ""ensembl""; gene_biotype ""snRNA"";",ENSG00000277248,U2,snRNA,0.0,0.0,112
22,havana,gene,10939388,10961338,.,-,.,"gene_id ""ENSG00000283047""; gene_version ""1""; gene_name ""CU459211.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000283047,CU459211.1,unprocessed_pseudogene,0.005076448871421459,0.005617243328383214,21950
22,havana,gene,11066418,11068174,.,+,.,"gene_id ""ENSG00000279973""; gene_version ""2""; gene_name ""CU104787.1""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000279973,CU104787.1,lincRNA,0.008249713411970075,0.008283808426830921,1756
22,havana,gene,11124337,11125705,.,+,.,"gene_id ""ENSG00000226444""; gene_version ""2""; gene_name ""ACTR3BP6""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000226444,ACTR3BP6,processed_pseudogene,0.009696555173160622,0.009719749089892017,1368
22,ensembl,gene,11249809,11249959,.,-,.,"gene_id ""ENSG00000276871""; gene_version ""1""; gene_name ""5_8S_rRNA""; gene_source ""ensembl""; gene_biotype ""rRNA"";",ENSG00000276871,5_8S_rRNA,rRNA,0.012830900197420371,0.012821057447959723,150
22,havana,gene,12602466,12626642,.,+,.,"gene_id ""ENSG00000283023""; gene_version ""1""; gene_name ""AC116618.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000283023,AC116618.1,unprocessed_pseudogene,0.046620859212022185,0.04718227313767374,24176
22,ensembl,gene,15273855,15273961,.,+,.,"gene_id ""ENSG00000276138""; gene_version ""1""; gene_name ""U6""; gene_source ""ensembl""; gene_biotype ""snRNA"";",ENSG00000276138,U6,snRNA,0.11335331601523108,0.11325783240475122,106
22,havana,gene,15282557,15288670,.,-,.,"gene_id ""ENSG00000280341""; gene_version ""1""; gene_name ""AP000542.3""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000280341,AP000542.3,lincRNA,0.11357069575255181,0.11362496058282852,6113
22,havana,gene,15290718,15297196,.,+,.,"gene_id ""ENSG00000236235""; gene_version ""1""; gene_name ""AP000542.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000236235,AP000542.1,unprocessed_pseudogene,0.11377456107503797,0.11383776463791637,6478
22,havana,gene,15298378,15304556,.,-,.,"gene_id ""ENSG00000279442""; gene_version ""1""; gene_name ""AP000542.2""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000279442,AP000542.2,lincRNA,0.11396591120005256,0.11402146600379094,6178
22,havana,gene,15326037,15343065,.,-,.,"gene_id ""ENSG00000184624""; gene_version ""4""; gene_name ""ZNF72P""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000184624,ZNF72P,unprocessed_pseudogene,0.11465684502613328,0.11498262848999524,17028
22,havana,gene,15349467,15350043,.,+,.,"gene_id ""ENSG00000236097""; gene_version ""1""; gene_name ""BNIP3P2""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000236097,BNIP3P2,processed_pseudogene,0.11524213659651078,0.11515679535563011,576
22,havana,gene,15489990,15492564,.,+,.,"gene_id ""ENSG00000236831""; gene_version ""1""; gene_name ""YME1L1P1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000236831,YME1L1P1,unprocessed_pseudogene,0.11875246213403352,0.11871403752489765,2574
22,ensembl_havana,gene,15528158,15529139,.,+,.,"gene_id ""ENSG00000130538""; gene_version ""4""; gene_name ""OR11H1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000130538,OR11H1,protein_coding,0.11970591534180852,0.11962692848371045,981
22,havana,gene,15541436,15578006,.,+,.,"gene_id ""ENSG00000237299""; gene_version ""1""; gene_name ""AP000534.2""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000237299,AP000534.2,unprocessed_pseudogene,0.12003760554545652,0.12084662069107356,36570
22,havana,gene,15550904,15553838,.,-,.,"gene_id ""ENSG00000235759""; gene_version ""1""; gene_name ""ARHGAP42P3""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000235759,ARHGAP42P3,processed_pseudogene,0.12027412029527872,0.12024340131465283,2934
22,havana,gene,15557577,15560694,.,-,.,"gene_id ""ENSG00000233408""; gene_version ""1""; gene_name ""AP000534.1""; gene_source ""havana""; gene_biotype ""antisense_RNA"";",ENSG00000233408,AP000534.1,antisense_RNA,0.12044081473186127,0.12041452313047295,3117
22,havana,gene,15562017,15564276,.,-,.,"gene_id ""ENSG00000215268""; gene_version ""3""; gene_name ""AP000533.2""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000215268,AP000533.2,processed_pseudogene,0.12055172785915431,0.12050392778978854,2259
