seqname,source,feature,start,end,score,strand,frame,attribute,gene_id,gene_name,gene_biotype,start_norm,end_norm,length
22,havana,gene,10939388,10961338,.,-,.,"gene_id ""ENSG00000283047""; gene_version ""1""; gene_name ""CU459211.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000283047,CU459211.1,unprocessed_pseudogene,0.005076448871421459,0.005617243328383214,21950
22,havana,gene,11066418,11068174,.,+,.,"gene_id ""ENSG00000279973""; gene_version ""2""; gene_name ""CU104787.1""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000279973,CU104787.1,lincRNA,0.008249713411970075,0.008283808426830921,1756
22,havana,gene,11124337,11125705,.,+,.,"gene_id ""ENSG00000226444""; gene_version ""2""; gene_name ""ACTR3BP6""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000226444,ACTR3BP6,processed_pseudogene,0.009696555173160622,0.009719749089892017,1368
22,havana,gene,12602466,12626642,.,+,.,"gene_id ""ENSG00000283023""; gene_version ""1""; gene_name ""AC116618.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000283023,AC116618.1,unprocessed_pseudogene,0.046620859212022185,0.04718227313767374,24176
22,havana,gene,15282557,15288670,.,-,.,"gene_id ""ENSG00000280341""; gene_version ""1""; gene_name ""AP000542.3""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000280341,AP000542.3,lincRNA,0.11357069575255181,0.11362496058282852,6113
22,havana,gene,15290718,15297196,.,+,.,"gene_id ""ENSG00000236235""; gene_version ""1""; gene_name ""AP000542.1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000236235,AP000542.1,unprocessed_pseudogene,0.11377456107503797,0.11383776463791637,6478
22,havana,gene,15298378,15304556,.,-,.,"gene_id ""ENSG00000279442""; gene_version ""1""; gene_name ""AP000542.2""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000279442,AP000542.2,lincRNA,0.11396591120005256,0.11402146600379094,6178
22,havana,gene,15326037,15343065,.,-,.,"gene_id ""ENSG00000184624""; gene_version ""4""; gene_name ""ZNF72P""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000184624,ZNF72P,unprocessed_pseudogene,0.11465684502613328,0.11498262848999524,17028
22,havana,gene,15489990,15492564,.,+,.,"gene_id ""ENSG00000236831""; gene_version ""1""; gene_name ""YME1L1P1""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000236831,YME1L1P1,unprocessed_pseudogene,0.11875246213403352,0.11871403752489765,2574
22,havana,gene,15541436,15578006,.,+,.,"gene_id ""ENSG00000237299""; gene_version ""1""; gene_name ""AP000534.2""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000237299,AP000534.2,unprocessed_pseudogene,0.12003760554545652,0.12084662069107356,36570
22,havana,gene,15550904,15553838,.,-,.,"gene_id ""ENSG00000235759""; gene_version ""1""; gene_name ""ARHGAP42P3""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000235759,ARHGAP42P3,processed_pseudogene,0.12027412029527872,0.12024340131465283,2934
22,havana,gene,15557577,15560694,.,-,.,"gene_id ""ENSG00000233408""; gene_version ""1""; gene_name ""AP000534.1""; gene_source ""havana""; gene_biotype ""antisense_RNA"";",ENSG00000233408,AP000534.1,antisense_RNA,0.12044081473186127,0.12041452313047295,3117
22,havana,gene,15562017,15564276,.,-,.,"gene_id ""ENSG00000215268""; gene_version ""3""; gene_name ""AP000533.2""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000215268,AP000533.2,processed_pseudogene,0.12055172785915431,0.12050392778978854,2259
22,havana,gene,15572089,15573265,.,-,.,"gene_id ""ENSG00000213727""; gene_version ""3""; gene_name ""AP000533.1""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000213727,AP000533.1,processed_pseudogene,0.12080333079115782,0.12072828805851767,1176
22,havana,gene,15600908,15604882,.,-,.,"gene_id ""ENSG00000230471""; gene_version ""1""; gene_name ""AP000532.2""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000230471,AP000532.2,lincRNA,0.12152324192076557,0.12151743018961225,3974
22,havana,gene,15611759,15613096,.,-,.,"gene_id ""ENSG00000231565""; gene_version ""1""; gene_name ""NEK2P2""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000231565,NEK2P2,processed_pseudogene,0.1217943046109135,0.1217224469041902,1337
22,havana,gene,15622601,15632051,.,-,.,"gene_id ""ENSG00000224435""; gene_version ""2""; gene_name ""NF1P6""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000224435,NF1P6,unprocessed_pseudogene,0.12206514247715476,0.12219555279959135,9450
22,havana,gene,15635180,15644330,.,-,.,"gene_id ""ENSG00000234381""; gene_version ""1""; gene_name ""MED15P7""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000234381,MED15P7,unprocessed_pseudogene,0.12237937135738433,0.1225020295756204,9150
22,ensembl_havana,gene,15690026,15721631,.,+,.,"gene_id ""ENSG00000198062""; gene_version ""14""; gene_name ""POTEH""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding"";",ENSG00000198062,POTEH,protein_coding,0.12374944824466237,0.12443141806522227,31605
22,havana,gene,15699361,15703403,.,-,.,"gene_id ""ENSG00000236666""; gene_version ""1""; gene_name ""POTEH-AS1""; gene_source ""havana""; gene_biotype ""antisense_RNA"";",ENSG00000236666,POTEH-AS1,antisense_RNA,0.1239826405967526,0.12397645767158619,4042
22,havana,gene,15721486,15722608,.,+,.,"gene_id ""ENSG00000241838""; gene_version ""3""; gene_name ""AP000529.1""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000241838,AP000529.1,processed_pseudogene,0.12453533270066221,0.12445580342316513,1122
22,havana,gene,15746630,15778297,.,+,.,"gene_id ""ENSG00000225255""; gene_version ""6""; gene_name ""LINC01297""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000225255,LINC01297,lincRNA,0.1251634407350443,0.12584576882590817,31667
22,havana,gene,15749156,15750825,.,-,.,"gene_id ""ENSG00000235992""; gene_version ""1""; gene_name ""GRAMD4P2""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000235992,GRAMD4P2,processed_pseudogene,0.12522654131151775,0.12516008351024158,1669
22,havana,gene,15784959,15829984,.,+,.,"gene_id ""ENSG00000206195""; gene_version ""10""; gene_name ""DUXAP8""; gene_source ""havana""; gene_biotype ""processed_transcript"";",ENSG00000206195,DUXAP8,processed_transcript,0.12612091579270537,0.1271358466109569,45025
22,havana,gene,15796959,15798346,.,+,.,"gene_id ""ENSG00000271127""; gene_version ""1""; gene_name ""AP000526.1""; gene_source ""havana""; gene_biotype ""sense_intronic"";",ENSG00000271127,AP000526.1,sense_intronic,0.1264206810016055,0.12634618033194336,1387
22,havana,gene,15805263,15820884,.,-,.,"gene_id ""ENSG00000232775""; gene_version ""6""; gene_name ""BMS1P22""; gene_source ""havana""; gene_biotype ""transcribed_unprocessed_pseudogene"";",ENSG00000232775,BMS1P22,transcribed_unprocessed_pseudogene,0.12662811852616437,0.12690871584608482,15621
22,havana,gene,15852990,15893942,.,+,.,"gene_id ""ENSG00000223875""; gene_version ""2""; gene_name ""NBEAP3""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000223875,NBEAP3,unprocessed_pseudogene,0.12782035970326242,0.128732201496637,40952
22,havana,gene,15854195,15855243,.,-,.,"gene_id ""ENSG00000215270""; gene_version ""3""; gene_name ""AP000523.1""; gene_source ""havana""; gene_biotype ""processed_pseudogene"";",ENSG00000215270,AP000523.1,processed_pseudogene,0.1278504611263228,0.12776629671973755,1048
22,havana,gene,15914721,15915800,.,-,.,"gene_id ""ENSG00000233866""; gene_version ""1""; gene_name ""AC145543.1""; gene_source ""havana""; gene_biotype ""lincRNA"";",ENSG00000233866,AC145543.1,lincRNA,0.1293624268791469,0.1292777646019748,1079
22,havana,gene,16387694,16390887,.,+,.,"gene_id ""ENSG00000225293""; gene_version ""1""; gene_name ""ABCD1P4""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000225293,ABCD1P4,unprocessed_pseudogene,0.14117749772490695,0.14113566280975332,3193
22,havana,gene,16423943,16426031,.,+,.,"gene_id ""ENSG00000229658""; gene_version ""1""; gene_name ""PABPC1P9""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000229658,PABPC1P9,unprocessed_pseudogene,0.14208301347969204,0.14201283683180438,2088
22,havana,gene,16428947,16476870,.,-,.,"gene_id ""ENSG00000227367""; gene_version ""1""; gene_name ""SLC9B1P4""; gene_source ""havana""; gene_biotype ""unprocessed_pseudogene"";",ENSG00000227367,SLC9B1P4,unprocessed_pseudogene,0.14220801557180338,0.143281749024698,47923
22,ensembl,gene,16486985,16488322,.,+,.,"gene_id ""ENSG00000280263""; gene_version ""1""; gene_name ""ACTR3BP2""; gene_source ""ensembl""; gene_biotype ""processed_pseudogene"";",ENSG00000280263,ACTR3BP2,processed_pseudogene,0.14365783000464885,0.14356758435649086,1337
